Date,Country,Customer Review,Analysis,Rating
2025-02-13,United Kingdom,"""worst flight I have ever taken""",Negative,1.0
2025-02-07,Thailand,“Worst Business Class experience”,Negative,1.0
2025-02-03,India,"""giving all help and support""",Positive,5.0
2025-01-30,United Kingdom,"""never book with Air India again""",Neutral,2.5
2025-01-15,Sri Lanka,"""in-flight experience was equally horrendous""",Negative,1.0
2025-01-10,United States,"""more than satisfactory""",Neutral,2.5
2025-01-08,United Kingdom,“the service onboard was impeccable”,Neutral,2.5
2025-01-04,United Kingdom,"""Done with Air India forever""",Neutral,2.5
2025-01-03,United Kingdom,"""the absolute bottom of the barrel""",Neutral,2.5
2025-01-02,Germany,"""I had a dreadful experience""",Negative,1.0
2024-12-28,Australia,"""I was denied to board""",Negative,1.0
2024-12-23,United States,"""using old planes"" ",Neutral,2.5
2024-12-22,United States,"""the old, dirty, broken seats""",Negative,1.0
2024-12-18,Singapore,"""very hot cabin temperature""",Neutral,2.5
2024-12-11,United Arab Emirates,"""no compensation will be given"" ",Neutral,2.5
2024-12-10,India,"""Air India, a crying shame""",Negative,1.0
2024-12-07,Finland,"""Worst airline experience ever""",Negative,1.0
2024-11-30,United States,"""lacking a little bit in customer service""",Negative,1.0
2024-11-29,Canada,"""will not compensate anything"" ",Neutral,2.5
2024-11-25,Australia,"""service was truly disappointing""",Negative,1.0
2024-11-24,United States,"""a traumatic experience""",Negative,1.0
2024-11-24,United Kingdom,"""terrible customer service""",Negative,1.0
2024-11-23,Spain,"""they are ALWAYS LATE""",Neutral,2.5
2024-11-21,United States,"""no explanation given for the delay""",Negative,1.0
2024-11-14,Australia,"""I had a terrible experience""",Negative,1.0
2024-11-13,India,“Absolutely atrocious service quality”,Neutral,2.5
2024-11-13,Netherlands,“TV screens did not function”,Neutral,2.5
2024-11-12,United Kingdom,"""continues to disappoint""",Negative,1.0
2024-11-12,United States,“Very bad experience”,Negative,1.0
2024-11-11,United States,"""a great experience""",Positive,5.0
2024-11-11,United States,“plane I flew in was really old”,Neutral,2.5
2024-11-09,United Kingdom,"""complete and utter shambles""",Neutral,2.5
2024-11-08,Australia,"""It was a nightmare for us""",Neutral,2.5
2024-11-07,India,“I was unexpectedly downgraded”,Neutral,2.5
2024-11-05,Canada,"""would use Air India again"" ",Neutral,2.5
2024-10-31,India,"""unaware of their own processes""",Negative,1.0
2024-10-26,Australia,"""I was very disappointed""",Negative,1.0
2024-10-23,Canada,"""denied to get the wheelchair""",Negative,1.0
2024-10-19,Australia,"""book a flight with them at your peril""",Negative,1.0
2024-10-12,United States,"""experience has been positive""",Positive,5.0
2024-09-30,Philippines,"""It's very disappointing""",Negative,1.0
2024-09-26,India,“For the price paid flight was pretty good”,Positive,5.0
2024-09-25,Australia,"""the experience was extremely poor""",Negative,1.0
2024-09-24,India,"""incompetence of this airline"" ",Negative,1.0
2024-09-23,Australia,"""disappointed in Air India service""",Negative,1.0
2024-09-23,United States,"""made me buy a new ticket""",Neutral,2.5
2024-09-22,Australia,"""I had the worst experience""",Negative,1.0
2024-09-19,United States,"""14.5 hour flight no entertainment""",Positive,5.0
2024-09-16,United Kingdom,“We won’t forget it!”,Negative,1.0
2024-09-16,Australia,"""worst of my flying experience""",Negative,1.0
2024-09-15,Canada,“service is just getting worse and worse”,Negative,1.0
2024-09-11,Canada,"""service they provide is beyond the worst""",Negative,1.0
2024-09-08,India,"""I have asked for compensation""",Neutral,2.5
2024-09-07,United Kingdom,"""18 hour delay"" ",Negative,1.0
2024-09-07,Germany,"""Annoying, frustrating and sad experience """,Negative,1.0
2024-09-02,United States,"""ancient angled flat seat"" ",Neutral,2.5
2024-09-01,United States,"""equipment is super old""",Positive,5.0
2024-09-01,India,"""crew were quite nice and friendly""",Positive,5.0
2024-08-31,United Kingdom,"""seats wont recline and handles broken""",Neutral,2.5
2024-08-30,Canada,"""customer care is -1""",Positive,5.0
2024-08-30,United Kingdom,"""embarrassing and unacceptable""",Negative,1.0
2024-08-27,India,"""Air India still has lot of work to do""",Neutral,2.5
2024-08-21,India,"""Worst airline available""",Negative,1.0
2024-08-14,Kuwait,"""the worst experience""",Negative,1.0
2024-08-07,Japan,"""it was a horrible experience""",Negative,1.0
2024-08-06,Hong Kong,"""bags were delayed by 2+ weeks""",Negative,1.0
2024-08-04,Australia,"""No concern for consumers""",Neutral,2.5
2024-07-30,Australia,"""12hour flight without a working screen""",Neutral,2.5
2024-07-29,United States,"""Get your act together""",Neutral,2.5
2024-07-27,Denmark,"""Avoid flying Air India""",Negative,1.0
2024-07-21,United Kingdom,"""didn't bother refunding my money""",Negative,1.0
2024-07-19,New Zealand,"""Air India do not care""",Positive,5.0
2024-07-19,Singapore,"""no proper information to the travellers""",Neutral,2.5
2024-07-18,India,"""give you the torture treatment""",Negative,1.0
2024-07-18,Canada,""" I was really disappointed"" ",Negative,1.0
2024-07-18,Australia,"""never fly Air India again"" ",Neutral,2.5
2024-07-15,Australia,"""beyond useless and unhelpful""",Negative,1.0
2024-07-15,Nepal,"""charged me for the weight of my duty-free""",Positive,5.0
2024-06-24,United States,“No value for money”,Neutral,2.5
2024-06-24,United States,“Food was great as always”,Positive,5.0
2024-06-22,Canada,"""Very unhappy with the service""",Negative,1.0
2024-06-19,Australia,"""express my deep disappointment""",Negative,1.0
2024-06-17,Australia,“staff was polite and helpful”,Positive,5.0
2024-06-04,India,"""boarding experience was tiring""",Neutral,2.5
2024-06-04,Canada,"""Totally messed up airline""",Negative,1.0
2024-05-28,India,"""16 hour flight without entertainment""",Negative,1.0
2024-05-25,India,"""Horrible experience during check in""",Negative,1.0
2024-05-24,United Kingdom,"""will not recommend""",Neutral,2.5
2024-05-21,India,"""snack service was not up to par""",Neutral,2.5
2024-05-19,United Arab Emirates,"""Every service needs deep review""",Neutral,2.5
2024-05-19,India,"""charging for carrying a laptop bag""",Neutral,2.5
2024-05-17,France,"""The worst company ever""",Negative,1.0
2024-05-15,United States,“Customer Service is the worst”,Negative,1.0
2024-05-15,Canada,"""please avoid Air India""",Neutral,2.5
2024-05-13,Canada,"""pathetic service and attitude""",Negative,1.0
2024-05-09,Australia,“poor management and bad decisions”,Negative,1.0
2024-05-08,Australia,""" disaster from start to finish""",Negative,1.0
2024-05-08,United States,"""worst experience I’ve had""",Negative,1.0
2024-05-07,United States,"""3 toilets out of order""",Neutral,2.5
2024-05-04,India,“not the customer service we expect”,Neutral,2.5
2024-04-30,United Kingdom,"""terrible customer service experience""",Negative,1.0
2024-04-29,India,"""Worst Staff behaviour""",Negative,1.0
2024-04-27,United States,"""no in flight entertainment""",Positive,5.0
2024-04-27,India,"""Overall a good flight""",Positive,5.0
2024-04-19,Israel,“nothing short of a nightmare”,Neutral,2.5
2024-04-18,India,"""ridiculous customer service""",Negative,1.0
2024-04-16,United Kingdom,"""No working entertainment""",Positive,5.0
2024-04-14,India,"""a pretty routine flight""",Positive,5.0
2024-04-14,India,"""The flight was quite nice""",Positive,5.0
2024-04-12,Germany,"""seat back was in a catastrophic state""",Negative,1.0
2024-04-11,United States,"""One way my IFE was not working""",Neutral,2.5
2024-04-09,United Kingdom,"""Will not fly on them again""",Neutral,2.5
2024-04-08,Canada,“Terrible experience”,Negative,1.0
2024-04-07,India,"""the disgrace to the country"" ",Negative,1.0
2024-04-06,United States,"""not in any way attentive""",Neutral,2.5
2024-04-03,India,"""Overall had a good experience""",Positive,5.0
2024-04-01,Netherlands,"""Entertainment was not working""",Positive,5.0
2024-03-29,United Kingdom,"""disheartening to see such discrepancies""",Negative,1.0
2024-03-27,India,"""Worst trip in a business class ever""",Negative,1.0
2024-03-21,Australia,"""Worst experience!""",Negative,1.0
2024-03-16,Australia,"""change the gates any time""",Neutral,2.5
2024-03-16,India,"""unprofessional and uncooperative""",Negative,1.0
2024-03-15,United Arab Emirates,"""Air India lost my luggage"" ",Negative,1.0
2024-03-14,United Kingdom,"""Excellent leg room"" ",Positive,5.0
2024-03-10,Australia,"""very unenjoyable flight"" ",Neutral,2.5
2024-03-10,Australia,"""No light button for reading too"" ",Neutral,2.5
2024-03-06,Canada,"""worst international flight experience""",Negative,1.0
2024-03-05,Italy,“Nothing was working”,Neutral,2.5
2024-03-05,Nepal,"""a nightmare that might haunt me""",Negative,1.0
2024-03-04,United States,“good decent service”,Positive,5.0
2024-03-03,India,"""very bad experience""",Negative,1.0
2024-02-20,United States,“didn't offer any kind of compensation”,Positive,5.0
2024-02-17,India,"""Very disappointed""",Negative,1.0
2024-02-16,United Kingdom,"""extremely dissatisfied with Air India""",Negative,1.0
2024-02-13,Sweden,"""I asked for compensation"" ",Neutral,2.5
2024-02-11,India,"""It’s a bad experience""",Negative,1.0
2024-02-11,United States,"""Very polite cabin crew""",Neutral,2.5
2024-02-08,Brazil,"""horrible, dirty and old""",Negative,1.0
2024-02-05,United States,"""Our worst flying experience""",Negative,1.0
2024-02-04,United Arab Emirates,“a fabulous experience“,Positive,5.0
2024-02-02,Australia,"""Excellent crew, polite and professional""",Positive,5.0
2024-02-01,Canada,"""Absolutely the worst flight""",Negative,1.0
2024-01-30,Thailand,"""My worst flying experience""",Negative,1.0
2024-01-26,Australia,"""A very bad experience""",Negative,1.0
2024-01-14,United States,"""experience left much to be desired""",Neutral,2.5
2024-01-13,New Zealand,“had a very pleasant experience”,Positive,5.0
2024-01-10,India,"""Total waste of your money"" ",Negative,1.0
2024-01-07,India,"""outstanding service provided""",Positive,5.0
2024-01-06,United States,"""the seats are falling apart""",Neutral,2.5
2024-01-03,India,"""clean and comfortable seats"" ",Positive,5.0
2024-01-03,India,"""25kg check in Baggage"" ",Neutral,2.5
2024-01-02,United Kingdom,"""Avoid like a Plague""",Neutral,2.5
2023-12-29,United Kingdom,"""Both my flights were delayed""",Negative,1.0
2023-12-25,Canada,"""did not enjoy the flight""",Positive,5.0
2023-12-24,United States,"""cancelled our flight just 2 hours prior""",Negative,1.0
2023-12-24,United Kingdom,"""terrible airline"" ",Negative,1.0
2023-12-24,India,"""wouldn't recommend this nasty airline""",Negative,1.0
2023-12-19,United States,"""Do not expect a comfortable seat""",Positive,5.0
2023-12-12,United States,“fly another carrier”,Neutral,2.5
2023-12-12,United States,"""a disappointing experience""",Negative,1.0
2023-12-05,Singapore,“flight was delayed by 14 hrs”,Negative,1.0
2023-12-02,United States,“Worst airline ever”,Negative,1.0
2023-11-28,United States,"""attempting to profit $700 from me""",Positive,5.0
2023-11-27,Australia,“infotainment system wasn’t working”,Neutral,2.5
2023-11-25,United States,"“dirty toilets, tray table and stained seats”",Negative,1.0
2023-11-23,United States,"""customer service was terrible""",Negative,1.0
2023-11-23,United States,“they have done a commendable job”,Neutral,2.5
2023-11-23,United States,"""lack the concept of hospitality""",Negative,1.0
2023-11-22,United States,“experience with Air India was challenging”,Neutral,2.5
2023-11-22,India,“crew were quite nice and soothing”,Positive,5.0
2023-11-21,United States,"""experience was much worse than ever before""",Negative,1.0
2023-11-17,Slovakia,"""Just a terrible experience""",Negative,1.0
2023-11-16,United States,"""experienced excellent service""",Positive,5.0
2023-11-12,Canada,"""disappoints on international routes"" ",Negative,1.0
2023-11-12,Canada,"""Comfortable seating""",Positive,5.0
2023-11-11,India,"""Pathetic airline""",Negative,1.0
2023-11-11,Australia,"""No entertainment at all""",Positive,5.0
2023-11-06,India,"""a very humiliating experience""",Negative,1.0
2023-11-05,India,“the soft product was markedly improved”,Positive,5.0
2023-10-29,Singapore,"""the worst I’ve travelled""",Negative,1.0
2023-10-27,United States,"""never expected or experienced such a difficult flight""",Neutral,2.5
2023-10-25,New Zealand,"""like a never ending nightmare""",Neutral,2.5
2023-10-25,India,"""I was just refunded taxes""",Neutral,2.5
2023-10-24,United States,"""whole food experience was disgusting""",Negative,1.0
2023-10-17,United Kingdom,"""half of the screens weren't working"" ",Neutral,2.5
2023-10-16,Canada,"""The worst airline to fly""",Negative,1.0
2023-10-16,United Arab Emirates,"""nothing is right"" ",Neutral,2.5
2023-10-15,United States,"""entire experience left us deeply disappointed""",Negative,1.0
2023-10-13,United States,"""Spend your money on other airlines""",Neutral,2.5
2023-10-11,United Kingdom,"""Be aware of this airline""",Neutral,2.5
2023-10-09,India,"""Not a good experience""",Positive,5.0
2023-09-30,Australia,"""deep disappointment and frustration""",Negative,1.0
2023-09-29,India,"""pay 14,000 INR because of extra luggage"" ",Negative,1.0
2023-09-29,United Kingdom,"""a very disappointing experience""",Negative,1.0
2023-09-28,Canada,"""seats were worn out, uncomfortable""",Negative,1.0
2023-09-28,Thailand,"""Staff on both flights were poorly trained""",Neutral,2.5
2023-09-28,Singapore,"""No lounge or compensation was given""",Neutral,2.5
2023-09-26,Netherlands,"""the most horrible airline""",Negative,1.0
2023-09-26,United States,"""they need to make some changes""",Neutral,2.5
2023-09-26,United Kingdom,"""Pathetic service""",Negative,1.0
2023-09-26,Australia,"""experience is very bad""",Negative,1.0
2023-09-24,France,"""site bombed when I tried to pay""",Negative,1.0
2023-09-24,Germany,"""I will never choose Air India""",Neutral,2.5
2023-09-22,United Kingdom,"""I had to spend 3 days in the airport""",Neutral,2.5
2023-09-22,India,"""staff changed our seat numbers""",Neutral,2.5
2023-09-18,United Kingdom,"""Worst airline I traveled with""",Negative,1.0
2023-09-18,Canada,"""The seat was broken""",Neutral,2.5
2023-09-16,Israel,"""avoid any flight with Air India""",Negative,1.0
2023-09-16,Australia,"""it is highly inconvenient""",Negative,1.0
2023-09-14,India,"""a very good experience""",Positive,5.0
2023-09-11,United States,"""Business class is not roomy""",Neutral,2.5
2023-09-10,India,"""a really comfortable and good flight""",Positive,5.0
2023-09-10,Australia,"""This is the worst flight service""",Negative,1.0
2023-09-09,India,"""very disappointing that they didn't help me""",Negative,1.0
2023-09-05,United States,"""one of the worst experiences""",Negative,1.0
2023-09-04,Australia,"""everyone was sweating for nearly 2 hours""",Neutral,2.5
2023-09-01,United Arab Emirates,"""food they serve is so bad""",Negative,1.0
2023-09-01,India,"""an amazing experience""",Positive,5.0
2023-08-28,United Kingdom,"""It's a third class flight""",Neutral,2.5
2023-08-28,United Arab Emirates,"""never fly Air India again""",Neutral,2.5
2023-08-19,United Arab Emirates,"""a waste of money""",Negative,1.0
2023-08-15,India,"""denied to take the bag saying that I am late""",Negative,1.0
2023-08-15,Australia,"""plane seemed terribly run down""",Negative,1.0
2023-08-14,India,"""soon lose their customer base""",Negative,1.0
2023-08-12,South Africa,"""Worst experience of my life""",Negative,1.0
2023-08-11,Australia,"""delayed almost 5-6 hours""",Negative,1.0
2023-08-11,Israel,"""very low cost aircraft"" ",Negative,1.0
2023-08-10,Canada,"""IFE screens don't work""",Neutral,2.5
2023-08-09,India,"""Keep up the good work""",Positive,5.0
2023-08-07,India,"""Pathetic and unprofessional""",Negative,1.0
2023-08-07,Qatar,"""no different from a low-budget airline""",Negative,1.0
2023-08-06,Canada,"""bathrooms on the plane were disgusting""",Negative,1.0
2023-08-02,India,"""Horrible service""",Negative,1.0
2023-07-29,India,"""outstanding service from staff""",Positive,5.0
2023-07-28,Denmark,"""never ever again Air India""",Neutral,2.5
2023-07-26,United Arab Emirates,"""Disappointed to the core""",Negative,1.0
2023-07-23,India,"""going from bad to worst""",Negative,1.0
2023-07-22,United Kingdom,"""was given a regular meal""",Neutral,2.5
2023-07-20,Australia,"""both times it was torture""",Negative,1.0
2023-07-18,United States,"""flight was disgusting and dirty""",Negative,1.0
2023-07-18,United States,"""gotten progressively worse""",Negative,1.0
2023-07-17,India,"""most disappointed""",Negative,1.0
2023-07-16,India,"""this was a welcome flight""",Positive,5.0
2023-07-16,Italy,"""company to really avoid""",Negative,1.0
2023-07-14,United Kingdom,"""excellent service provided by staff""",Positive,5.0
2023-07-11,Denmark,"""entertainment did not work""",Positive,5.0
2023-07-09,United States,"""The service was non-existent""",Neutral,2.5
2023-07-08,India,"""I would still recommend""",Neutral,2.5
2023-07-06,Canada,"""first and last flight with Air India""",Neutral,2.5
2023-07-06,Canada,"""Again bad experience""",Negative,1.0
2023-07-05,United States,"""No value for money""",Neutral,2.5
2023-07-04,India,"""there was nobody there to help""",Positive,5.0
2023-07-03,India,"""Worst quality of food!",Negative,1.0
2023-07-02,United States,"""Worst flight""",Negative,1.0
2023-07-02,New Zealand,"""No entertainment, no call lights, no seat reclining""",Positive,5.0
2023-07-02,Singapore,"""A terrible nightmare""",Negative,1.0
2023-07-01,United Arab Emirates,"""more than 45 minutes for baggage check""",Neutral,2.5
2023-06-28,Australia,"""top notch crew experience""",Neutral,2.5
2023-06-28,United States,"""Worst experience ever""",Negative,1.0
2023-06-27,India,"""seats are absolutely atrocious""",Neutral,2.5
2023-06-27,United Kingdom,"""service is horrible""",Negative,1.0
2023-06-27,India,"""worst customer support""",Negative,1.0
2023-06-27,India,"""never seen such kind of chaos""",Neutral,2.5
2023-06-26,India,"""web check-in was harrowing""",Neutral,2.5
2023-06-26,Singapore,"""service and customer experience lacking""",Neutral,2.5
2023-06-26,Australia,"""Overall good customer service""",Positive,5.0
2023-06-26,Sri Lanka,"""held passengers for nearly 4 hours""",Neutral,2.5
2023-06-25,United States,"""seat was completely broken""",Negative,1.0
2023-06-25,Canada,"""Worst inflight experience""",Negative,1.0
2023-06-20,Canada,"""Customer service is getting worse day by day""",Negative,1.0
2023-06-20,India,"""Good experience overall""",Positive,5.0
2023-06-17,United States,"""last time flying Air India""",Neutral,2.5
2023-06-17,Canada,"""AI has given nothing but lousy service""",Positive,5.0
2023-06-17,Australia,"""a wonderful experience""",Positive,5.0
2023-06-16,India,"""cabin crew not arrived"" ",Neutral,2.5
2023-06-15,Canada,"""Worst flight experience""",Negative,1.0
2023-06-15,Canada,"""staff extremely kind and helpful""",Positive,5.0
2023-06-14,India,"""the worst flight experience""",Negative,1.0
2023-06-14,India,"""Seats small and uncomfortable""",Negative,1.0
2023-06-14,India,"""book at your peril""",Negative,1.0
2023-06-14,Netherlands,"""Boarding a bit messy""",Negative,1.0
2023-06-14,Netherlands,"""staff super efficient and friendly""",Positive,5.0
2023-06-13,United States,"""One of the worst flight experiences""",Negative,1.0
2023-06-13,India,"""experienced such poor service""",Negative,1.0
2023-06-12,Sri Lanka,"""Very poor flight management""",Negative,1.0
2023-06-12,India,"""Food quality horrible""",Negative,1.0
2023-06-12,United States,"""the worst flight experience """,Negative,1.0
2023-06-11,India,"""delayed for more than 5 hours""",Negative,1.0
2023-06-10,India,"""a very good flight""",Positive,5.0
2023-06-10,India,"""Worst experience ever""",Negative,1.0
2023-06-09,Sri Lanka,"""Worst experience ever""",Negative,1.0
2023-06-08,United States,"""very poor service""",Negative,1.0
2023-06-08,India,"""Some seats were not reclining""",Neutral,2.5
2023-06-08,India,"""Horrible service by Air India""",Negative,1.0
2023-06-06,United States,"""I asked if he could upgrade me""",Neutral,2.5
2023-06-06,United States,"""bad airline service"" ",Negative,1.0
2023-06-03,Canada,"""hated my overall flight experience""",Neutral,2.5
2023-06-02,United Kingdom,"""Avoid booking Air India""",Negative,1.0
2023-05-27,Indonesia,"""old planes with no inflight entertainment""",Positive,5.0
2023-05-27,India,"""One of the worst airlines""",Negative,1.0
2023-05-26,India,"""Very disappointing""",Negative,1.0
2023-05-22,Canada,"""irresponsible airline""",Negative,1.0
2023-05-22,India,"""Pathetic experience""",Negative,1.0
2023-05-22,United Kingdom,"""Seats are not at all hygienic""",Neutral,2.5
2023-05-22,Australia,"""No Inflight Entertainment""",Positive,5.0
2023-05-08,Australia,"""disappointed that I never got to fly""",Negative,1.0
2023-05-07,Canada,"""the flight was so horrible""",Negative,1.0
2023-05-05,Canada,"""Such a bad experience""",Negative,1.0
2023-05-04,Canada,"""Absolutely primitive aircraft""",Neutral,2.5
2023-05-04,India,"""food was top class""",Neutral,2.5
2023-05-03,United Kingdom,"""better than the last time I flew""",Positive,5.0
2023-05-03,Sri Lanka,"""the service was very poor""",Negative,1.0
2023-05-03,India,"""Staff new and not efficient""",Positive,5.0
2023-05-03,United States,"""never travel again with Air India""",Neutral,2.5
2023-05-02,India,"""comment is mainly for safety concern""",Positive,5.0
2023-05-02,Canada,"""it was shocking""",Negative,1.0
2023-04-28,Australia,"""Would never fly again"" ",Neutral,2.5
2023-04-27,United Kingdom,"""not friendly to customers""",Positive,5.0
2023-04-23,India,"""very bad experience in plane""",Negative,1.0
2023-04-23,Australia,"""food was improved""",Positive,5.0
2023-04-19,United States,"""an excellent flight""",Positive,5.0
2023-04-16,Australia,"""nervous about our journey back home""",Negative,1.0
2023-04-14,Nepal,"""Terrible customer service""",Negative,1.0
2023-04-14,India,"""entertainment non existent""",Positive,5.0
2023-04-12,Canada,"""Will not fly Air India again""",Neutral,2.5
2023-04-11,United Kingdom,"""Air India are idling""",Neutral,2.5
2023-04-07,United Kingdom,"""Never flying Air India again""",Neutral,2.5
2023-04-06,India,"""unfair and bad service""",Negative,1.0
2023-04-05,Canada,"""Seat armrests are broken""",Neutral,2.5
2023-04-05,United States,"""reluctant to help in any way""",Neutral,2.5
2023-04-04,Canada,"""Nothing was working at all""",Neutral,2.5
2023-04-03,Canada,"""scammed me for such a huge amount""",Neutral,2.5
2023-04-02,India,"""The flight experience was horrible""",Negative,1.0
2023-04-02,India,"""Baggage service to be improved""",Positive,5.0
2023-03-30,India,"""Extremely disgusted by Air India""",Negative,1.0
2023-03-25,India,"""amazing legroom""",Positive,5.0
2023-03-24,United States,"""IFE screen does not work""",Neutral,2.5
2023-03-22,India,"""Flight was clean and neat""",Positive,5.0
2023-03-21,United States,"""Air India did not disappoint""",Negative,1.0
2023-03-20,United Kingdom,"""the worst I have ever flown with""",Negative,1.0
2023-03-18,United States,"""not a good customer experience""",Positive,5.0
2023-03-16,Canada,"""Worst experience ever""",Negative,1.0
2023-03-16,United States,"""rude in their services""",Negative,1.0
2023-03-16,India,"""my luggage was damaged""",Negative,1.0
2023-03-15,India,"""I appreciate the attitude of the crew""",Positive,5.0
2023-03-14,United States,"""Appalling airline""",Negative,1.0
2023-03-13,South Africa,"""No accountability or professionalism""",Neutral,2.5
2023-03-12,United States,"""Complete disaster""",Negative,1.0
2023-03-11,United States,"""A total disgrace""",Negative,1.0
2023-03-09,India,"""the seats did not recline""",Neutral,2.5
2023-03-05,United Arab Emirates,"""Horrible service""",Negative,1.0
2023-03-04,United Kingdom,"""I was very disappointed""",Negative,1.0
2023-03-03,United Kingdom,"""Service gone so down""",Neutral,2.5
2023-03-03,United Kingdom,"""Food was below average quality""",Neutral,2.5
2023-03-02,United States,"""Not a good value for money""",Positive,5.0
2023-03-02,United States,"""did not answer any call button""",Neutral,2.5
2023-03-02,United States,"""beyond a horrible experience""",Negative,1.0
